1	Toy Story (1995)	Animasyon
2	GoldenEye (1995)	Aksiyon
3	Four Rooms (1995)	Komedi
4	Get Shorty (1995)	Komedi
5	Copycat (1995)	Suç
6	Shanghai Triad (1995)	Drama
7	Twelve Monkeys (1995)	Bilim Kurgu
8	Babe (1995)	Komedi
9	Dead Man Walking (1995)	Suç
10	Richard III (1995)	Drama
11	Seven (1995)	Suç
12	The Usual Suspects (1995)	Suç
13	Mighty Aphrodite (1995)	Komedi
14	Postino Il (1994)	Drama
15	Mr Hollands Opus (1995)	Drama
16	French Twist (1995)	Komedi
17	From Dusk Till Dawn (1996)	Aksiyon
18	The White Balloon (1995)	Drama
19	Antonias Line (1995)	Drama
20	Angels and Insects (1995)	Drama
21	Muppet Treasure Island (1996)	Macera
22	Braveheart (1995)	Aksiyon
23	Taxi Driver (1976)	Suç
24	Rumble in the Bronx (1995)	Aksiyon
25	The Birdcage (1996)	Komedi
26	The Brothers McMullen (1995)	Komedi
27	Bad Boys (1995)	Aksiyon
28	Apollo 13 (1995)	Macera
29	Batman Forever (1995)	Aksiyon
30	Belle de jour (1967)	Drama
31	Crimson Tide (1995)	Aksiyon
32	Crumb (1994)	Belgesel
33	Desperado (1995)	Aksiyon
34	The Doom Generation (1995)	Komedi
35	Free Willy 2 The Adventure Home (1995)	Macera
36	Mad Love (1995)	Drama
37	Nadja (1994)	Drama
38	The Net (1995)	Suç
39	Strange Days (1995)	Bilim Kurgu
40	Thanks for Everything Julie Newmar To Wong Foo (1995)	Komedi
41	Billy Madison (1995)	Komedi
42	Clerks (1994)	Komedi
43	Disclosure (1994)	Drama
44	Dolores Claiborne (1994)	Drama
45	Eat Drink Man Woman (1994)	Komedi
46	Exotica (1994)	Drama
47	Ed Wood (1994)	Drama
48	Hoop Dreams (1994)	Belgesel
49	IQ (1994)	Komedi
50	Star Wars (1977)	Aksiyon
51	Legends of the Fall (1994)	Drama
52	The Madness of King George (1994)	Drama
53	Natural Born Killers (1994)	Suç
54	Outbreak (1995)	Aksiyon
55	The Professional (1994)	Suç
56	Pulp Fiction (1994)	Suç
57	Priest (1994)	Drama
58	Quiz Show (1994)	Drama
59	Three Colors Red (1994)	Drama
60	Three Colors Blue (1993)	Drama
61	Three Colors White (1994)	Drama
62	Stargate (1994)	Aksiyon
63	The Santa Clause (1994)	Komedi
64	The Shawshank Redemption (1994)	Drama
65	Whats Eating Gilbert Grape (1993)	Drama
66	While You Were Sleeping (1995)	Komedi
67	Ace Ventura Pet Detective (1994)	Komedi
68	The Crow (1994)	Aksiyon
69	Forrest Gump (1994)	Drama
70	Four Weddings and a Funeral (1994)	Komedi
71	The Lion King (1994)	Animasyon
72	The Mask (1994)	Komedi
73	Maverick (1994)	Aksiyon
74	Faster Pussycat Kill Kill (1965)	Aksiyon
75	Brother Minister The Assassination of Malcolm X (1994)	Belgesel
76	Carlitos Way (1993)	Suç
77	The Firm (1993)	Drama
78	Free Willy (1993)	Macera
79	The Fugitive (1993)	Aksiyon
80	Hot Shots Part Deux (1993)	Komedi
81	The Hudsucker Proxy (1994)	Komedi
82	Jurassic Park (1993)	Macera
83	Much Ado About Nothing (1993)	Komedi
84	Robert A Heinleins The Puppet Masters (1994)	Korku
85	The Ref (1994)	Komedi
86	The Remains of the Day (1993)	Drama
87	Searching for Bobby Fischer (1993)	Drama
88	Sleepless in Seattle (1993)	Komedi
89	Blade Runner (1982)	Bilim Kurgu
90	So I Married an Axe Murderer (1993)	Komedi
91	The Nightmare Before Christmas (1993)	Animasyon
92	True Romance (1993)	Suç
93	Welcome to the Dollhouse (1995)	Komedi
94	Home Alone (1990)	Komedi
95	Aladdin (1992)	Animasyon
96	Terminator 2 Judgment Day (1991)	Aksiyon
97	Dances with Wolves (1990)	Macera
98	The Silence of the Lambs (1991)	Suç
99	Snow White and the Seven Dwarfs (1937)	Animasyon
100	Fargo (1996)	Suç
101	Heavy Metal (1981)	Animasyon
102	The Aristocats (1970)	Animasyon
103	All Dogs Go to Heaven 2 (1996)	Animasyon
104	Theodore Rex (1995)	Komedi
105	Sgt Bilko (1996)	Komedi
106	Diabolique (1996)	Drama
107	Moll Flanders (1996)	Drama
108	Kids in the Hall Brain Candy (1996)	Komedi
109	Mystery Science Theater 3000 The Movie (1996)	Komedi
110	Operation Dumbo Drop (1995)	Aksiyon
111	The Truth About Cats & Dogs(1996)	Romantik
112	Flipper (1996)	Macera
113	The Horseman on the Roof (1995)	Drama
114	Wallace & Gromit The Best of Aardman Animation (1996)	Animasyon
115	The Haunted World of Edward D Wood Jr (1995)	Belgesel
116	Cold Comfort Farm (1995)	Komedi
117	The Rock (1996)	Aksiyon
118	Twister (1996)	Aksiyon
119	Maya Lin A Strong Clear Vision (1994)	Belgesel
120	Striptease (1996)	Komedi
121	Independence Day (1996)	Aksiyon
122	The Cable Guy (1996)	Komedi
123	The Frighteners (1996)	Korku
124	Lone Star (1996)	Drama
125	Phenomenon (1996)	Drama
126	The Spitfire Grill (1996)	Drama
127	The Godfather (1972)	Suç
128	Supercop (1992)	Aksiyon
129	Bound (1996)	Suç
130	Kansas City (1996)	Drama
131	Breakfast at Tiffanys (1961)	Romantik
132	The Wizard of Oz (1939)	Fantastik
133	Gone with the Wind (1939)	Drama
134	Citizen Kane (1941)	Drama
135	2001 A Space Odyssey (1968)	Bilim Kurgu
136	Mr Smith Goes to Washington (1939)	Drama
137	Big Night (1996)	Drama
138	D3 The Mighty Ducks (1996)	Komedi
139	The Love Bug (1969)	Aksiyon
140	Homeward Bound The Incredible Journey (1993)	Macera
141	20000 Leagues Under the Sea (1954)	Macera
142	Bedknobs and Broomsticks (1971)	Fantastik
143	The Sound of Music (1965)	Drama
144	Die Hard (1988)	Aksiyon
145	The Lawnmower Man (1992)	Bilim Kurgu
146	Unhook the Stars (1996)	Drama
147	The Long Kiss Goodnight (1996)	Aksiyon
148	The Ghost and the Darkness (1996)	Aksiyon
149	Jude (1996)	Drama
150	Swingers (1996)	Komedi
151	Willy Wonka and the Chocolate Factory (1971)	Fantastik
152	Sleeper (1973)	Komedi
153	A Fish Called Wanda (1988)	Komedi
154	Monty Pythons Life of Brian (1979)	Komedi
155	Dirty Dancing (1987)	Romantik
156	Reservoir Dogs (1992)	Suç
157	Platoon (1986)	Drama
158	Weekend at Bernies (1989)	Komedi
159	Basic Instinct (1992)	Drama
160	Glengarry Glen Ross (1992)	Drama
161	Top Gun (1986)	Aksiyon
162	On Golden Pond (1981)	Drama
163	The Return of the Pink Panther (1974)	Komedi
164	The Abyss (1989)	Bilim Kurgu
165	Jean de Florette (1986)	Drama
166	Manon of the Spring (1986)	Drama
167	Private Benjamin (1980)	Komedi
168	Monty Python and the Holy Grail (1974)	Komedi
169	The Wrong Trousers (1993)	Animasyon
170	Cinema Paradiso (1988)	Drama
171	Delicatessen (1991)	Komedi
172	The Empire Strikes Back (1980)	Bilim Kurgu
173	The Princess Bride (1987)	Fantastik
174	Raiders of the Lost Ark (1981)	Aksiyon
175	Brazil (1985)	Bilim Kurgu
176	Aliens (1986)	Bilim Kurgu
177	The Good The Bad and The Ugly (1966)	Kovboy
178	12 Angry Men (1957)	Drama
179	A Clockwork Orange (1971)	Drama
180	Apocalypse Now (1979)	Drama
181	Return of the Jedi (1983)	Bilim Kurgu
182	GoodFellas (1990)	Suç
183	Alien (1979)	Bilim Kurgu
184	Army of Darkness (1993)	Komedi
185	Psycho (1960)	Korku
186	The Blues Brothers (1980)	Komedi
187	The Godfather Part II (1974)	Suç
188	Full Metal Jacket (1987)	Savaş
189	A Grand Day Out (1992)	Animasyon
190	Henry V (1989)	Drama
191	Amadeus (1984)	Biyografi
192	Raging Bull (1980)	Drama
193	The Right Stuff (1983)	Drama
194	The Sting (1973)	Suç
195	The Terminator (1984)	Aksiyon
196	Dead Poets Society (1989)	Drama
197	The Graduate (1967)	Drama
198	Nikita (1990)	Aksiyon
199	The Bridge on the River Kwai (1957)	Drama
200	The Shining (1980)	Korku
201	Evil Dead II (1987)	Korku
202	Groundhog Day (1993)	Komedi
203	Unforgiven (1992)	Drama
204	Back to the Future (1985)	Bilim Kurgu
205	Patton (1970)	Drama
206	Akira (1988)	Animasyon
207	Cyrano de Bergerac (1990)	Drama
208	Young Frankenstein (1974)	Komedi
209	This Is Spinal Tap (1984)	Komedi
210	Indiana Jones and the Last Crusade (1989)	Aksiyon
211	MASH (1970)	Savaş
212	The Unbearable Lightness of Being (1988)	Drama
213	A Room with a View (1986)	Drama
214	Pink Floyd - The Wall (1982)	Müzikal
215	Field of Dreams (1989)	Drama
216	When Harry Met Sally (1989)	Romantik
217	Bram Stokers Dracula (1992)	Korku
218	Cape Fear (1991)	Drama
219	A Nightmare on Elm Street (1984)	Korku
220	The Mirror Has Two Faces (1996)	Drama
221	Breaking the Waves (1996)	Drama
222	Star Trek First Contact (1996)	Bilim Kurgu
223	Sling Blade (1996)	Drama
